id,price,priceShot,priceGlass,priceHalf,priceWhole
agua-con-gas,1.5,,,,
agua-grande,2.5,,,,
agua-pequena,1.2,,,,
aguardiente-amarillo,,2,,,
aguardiente-azul,,2,,,
aguardiente-del-valle,,2,,,
aguardiente-rojo,,2,,,
americano,1.5,,,,
arehucas,,,4,,
arepa-con-chicharron,7,,,,
arepa-con-chorizo-antioqueno,7,,,,
bacalao-encebollado,16,,,,
baileys,,2.5,4,,
bandeja-paisa,16.5,,,,
barraquito,3,,,,
buchanans,,,6,,
cafe-bombon,1.4,,,,
cafe-con-leche,1.8,,,,
cafe-cortado,1.3,,,,
cafe-expreso,1.2,,,,
capuchino,1.7,,,,
carne-de-cabra,14.5,,,,
carne-fiestera,9,,,,
chivas,,,5,,
chuleta-de-cerdo,17.9,,,,
chuleta-valluna,15.5,,,,
coca-cola,2.5,,,,
colombiana,2.5,,,,
corona,3.5,,,,
costillas-con-papas-y-mazorca,10.5,,,,
descafeinado,1.2,,,,
descafeinado-con-leche,2,,,,
dorada-0,2,,,,
dorada-0-limon,2.2,,,,
dorada-especial,2,,,,
dorada-especial-grande,3.5,,,,
dorada-pilsen,2.2,,,,
dorada-tostada,2.5,,,,
empanadas,2,,,,
ensalada-mixta,6,,,,
ensalada-sazon-de-mi-tierra,9.5,,,,
entrecot-de-ternera,18,,,,
escaldon,6,,,,
fanta,2.5,,,,
fuze-tea-mango-pina,2.5,,,,
gambas-al-ajillo,9,,,,
garbanzas,8,,,,
gordons,,,4,,
grilled-picada-sazon-from-my-land,42.9,,,,
havana-3,,2,4.5,,
hendricks,,,6,,
hit,2,,,,
huevos-estrellados,6.5,,,,
infusiones,2,,,,
jagermeister,,2,4,,
johnnie-black,,2,4.5,,
johnnie-red,,2,4,,
leche-y-leche,1.8,,,,
medio-pollo-pollo-entero,,,,9.5,14.8
papa-rellena,4,,,,
papas-arrugadas-con-mojo,4.5,,,,
parrillada-mixta,33,,,,
patacon-con-hogao,7,,,,
patacon-con-queso,7,,,,
pescado-frito,19.5,,,,
picada-colombiana,30,,,,
postobon-manzana,2.5,,,,
postobon-uva,2.5,,,,
postres-variados,0,,,,
potaje-de-berros,6.5,,,,
potaje-de-lentejas,6.5,,,,
quesillo,5,,,,
queso-a-la-plancha,9.5,,,,
red-bull,2.5,,,,
ron-viejo-de-caldas,,,4.5,,
royal-bliss,2.5,,,,
sancocho-de-costilla,17,,,,
sancocho-de-gallina,17,,,,
sancocho-trifasico,19.9,,,,
secreto-iberico,15,,,,
smirnoff-red,,2,4.5,,
sobrebarriga-asada,16,,,,
sobrebarriga-en-salsa,17.3,,,,
solomillo-de-cerdo,15.9,,,,
sprite,2.5,,,,
tarta-de-la-abuela,5,,,,
vino-blanco-cuarto,3.5,,,,
vino-blanco-medio,6,,,,
vino-dulce-cuarto,3.5,,,,
vino-dulce-medio,6,,,,
vino-tinto-cuarto,3.5,,,,
vino-tinto-medio,6,,,,
zumo,2,,,,